# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  116       4.325224316907e-10       1.321672339585e-13      -4.498871018122e-12       0.000000000000e+00       6.871803167711e-12       1.021060110614e-12      -6.097610385510e-15 
  117       4.370701742322e-10       1.335981355821e-13      -4.580240755547e-12       0.000000000000e+00       6.713542611961e-12       1.002811628325e-12      -6.028647643833e-15 
  118       4.416334046567e-10       1.349800469731e-13      -4.660500862851e-12       0.000000000000e+00       6.560253562827e-12       9.850768472330e-13      -5.959867064625e-15 
  119       4.462110454418e-10       1.363114543549e-13      -4.739576524785e-12       0.000000000000e+00       6.411701073128e-12       9.678313755400e-13      -5.891377652369e-15 
  120       4.508019003135e-10       1.375908681731e-13      -4.817392663188e-12       0.000000000000e+00       6.267608080753e-12       9.510461554327e-13      -5.823287403436e-15 
  121       4.554046508600e-10       1.388168243032e-13      -4.893873965380e-12       0.000000000000e+00       6.127654292340e-12       9.346873375866e-13      -5.755703191876e-15 
  122       4.600178531457e-10       1.399878852580e-13      -4.968944912566e-12       0.000000000000e+00       5.991475066955e-12       9.187161556677e-13      -5.688730655198e-15 
  123       4.646401066175e-10       1.411026891857e-13      -5.042530653196e-12       0.000000000000e+00       5.858740108690e-12       9.030975807952e-13      -5.622457622723e-15 
  124       4.692705900049e-10       1.421601006665e-13      -5.114559676196e-12       0.000000000000e+00       5.729402158758e-12       8.878276780382e-13      -5.556902488248e-15 
  125       4.739085808902e-10       1.431590795960e-13      -5.184961499795e-12       0.000000000000e+00       5.603474902852e-12       8.729091708074e-13      -5.492059663472e-15 
  126       4.785532869221e-10       1.440986365136e-13      -5.253665888736e-12       0.000000000000e+00       5.480955237845e-12       8.583428865479e-13      -5.427915263005e-15 
  127       4.832038437850e-10       1.449778341864e-13      -5.320602889325e-12       0.000000000000e+00       5.361822783387e-12       8.441277003196e-13      -5.364446860668e-15 
  128       4.878593131690e-10       1.457957891923e-13      -5.385702864476e-12       0.000000000000e+00       5.246039393508e-12       8.302604783782e-13      -5.301623245800e-15 
  129       4.925186807389e-10       1.465516735036e-13      -5.448896528752e-12       0.000000000000e+00       5.133548668219e-12       8.167360217563e-13      -5.239404179556e-15 
  130       4.971808541044e-10       1.472447160708e-13      -5.510114983409e-12       0.000000000000e+00       5.024275465112e-12       8.035470098437e-13      -5.177740151207e-15 
  131       5.018446607894e-10       1.478742044060e-13      -5.569289751447e-12       0.000000000000e+00       4.918125410960e-12       7.906839439685e-13      -5.116572134444e-15 
  132       5.065088462019e-10       1.484394861663e-13      -5.626352812646e-12       0.000000000000e+00       4.814984413319e-12       7.781350909779e-13      -5.055831343680e-15 
  133       5.111720716032e-10       1.489399707376e-13      -5.681236638615e-12       0.000000000000e+00       4.714718172131e-12       7.658864268191e-13      -4.995438990349e-15 
  134       5.158329120781e-10       1.493751308178e-13      -5.733874227835e-12       0.000000000000e+00       4.617171691319e-12       7.539215801200e-13      -4.935306039209e-15 
  135       5.204898545040e-10       1.497445040008e-13      -5.784199140704e-12       0.000000000000e+00       4.522168790395e-12       7.422217757698e-13      -4.875332964644e-15 
  136       5.251412955207e-10       1.500476943596e-13      -5.832145534580e-12       0.000000000000e+00       4.429511616053e-12       7.307657785005e-13      -4.815409506964e-15 
  137       5.297856828448e-10       1.502844018525e-13      -5.877648864356e-12       0.000000000000e+00       4.339022627201e-12       7.195344713050e-13      -4.755436580335e-15 
  138       5.344219600148e-10       1.504545106228e-13      -5.920647991824e-12       0.000000000000e+00       4.250676487229e-12       7.085252448276e-13      -4.695395071016e-15 
  139       5.390491640319e-10       1.505580128815e-13      -5.961083362043e-12       0.000000000000e+00       4.164480957353e-12       6.977389969351e-13      -4.635283729388e-15 
  140       5.436662850353e-10       1.505949836480e-13      -5.998896396305e-12       0.000000000000e+00       4.080435430999e-12       6.871756047299e-13      -4.575097554958e-15 
  141       5.482722651812e-10       1.505655825107e-13      -6.034029531401e-12       0.000000000000e+00       3.998530714993e-12       6.768338975497e-13      -4.514827693265e-15 
  142       5.528659975224e-10       1.504700553867e-13      -6.066426258890e-12       0.000000000000e+00       3.918748810747e-12       6.667116299661e-13      -4.454461332779e-15 
  143       5.574463248878e-10       1.503087362824e-13      -6.096031164367e-12       0.000000000000e+00       3.841062695447e-12       6.568054547840e-13      -4.393981601804e-15 
  144       5.620120387618e-10       1.500820490532e-13      -6.122789966730e-12       0.000000000000e+00       3.765436103239e-12       6.471108960402e-13      -4.333367465381e-15 
  145       5.665618781637e-10       1.497905091640e-13      -6.146649557452e-12       0.000000000000e+00       3.691823306421e-12       6.376223220026e-13      -4.272593622188e-15 
  146       5.710945285274e-10       1.494347254490e-13      -6.167558039848e-12       0.000000000000e+00       3.620168896629e-12       6.283329181694e-13      -4.211630401446e-15 
  147       5.756086205805e-10       1.490154018722e-13      -6.185464768343e-12       0.000000000000e+00       3.550407566022e-12       6.192346602680e-13      -4.150443659817e-15 
  148       5.801027292240e-10       1.485333392872e-13      -6.200320387741e-12       0.000000000000e+00       3.482463888473e-12       6.103182872538e-13      -4.088994678308e-15 
  149       5.845753724118e-10       1.479894371975e-13      -6.212076872494e-12       0.000000000000e+00       3.416252100756e-12       6.015732743096e-13      -4.027240059172e-15 
  150       5.890250100301e-10       1.473846955166e-13      -6.220687565969e-12       0.000000000000e+00       3.351675883733e-12       5.929878058443e-13      -3.965131622812e-15 
  151       5.934500427767e-10       1.467202163282e-13      -6.226107219720e-12       0.000000000000e+00       3.288628143543e-12       5.845487484923e-13      -3.902616304683e-15 
  152       5.978488110406e-10       1.459972056461e-13      -6.228292032751e-12       0.000000000000e+00       3.226990792788e-12       5.762416241120e-13      -3.839636052192e-15 
  153       6.022197156673e-10       1.452169601932e-13      -6.227199921224e-12       0.000000000000e+00       3.166659166162e-12       5.680539381769e-13      -3.776149849857e-15 
  154       6.065615952417e-10       1.443808226503e-13      -6.222791273119e-12       0.000000000000e+00       3.107618281101e-12       5.599855698398e-13      -3.712202315053e-15 
  155       6.108733818954e-10       1.434902255843e-13      -6.215028338908e-12       0.000000000000e+00       3.049873280380e-12       5.520393005054e-13      -3.647861310464e-15 
  156       6.151539820766e-10       1.425467077263e-13      -6.203875047524e-12       0.000000000000e+00       2.993425342084e-12       5.442175353952e-13      -3.583196398314e-15 
  157       6.194022760507e-10       1.415519156551e-13      -6.189297046804e-12       0.000000000000e+00       2.938271586266e-12       5.365222936351e-13      -3.518278849963e-15 
  158       6.236171174003e-10       1.405076054811e-13      -6.171261743936e-12       0.000000000000e+00       2.884404981585e-12       5.289551983435e-13      -3.453181655508e-15 
  159       6.277973325254e-10       1.394156445299e-13      -6.149738345895e-12       0.000000000000e+00       2.831814251967e-12       5.215174667186e-13      -3.387979533385e-15 
  160       6.319417201435e-10       1.382780130267e-13      -6.124697899890e-12       0.000000000000e+00       2.780483783248e-12       5.142099001270e-13      -3.322748939967e-15 
  161       6.360490507901e-10       1.370968057794e-13      -6.096113333803e-12       0.000000000000e+00       2.730393529826e-12       5.070328741910e-13      -3.257568079166e-15 
  162       6.401180663187e-10       1.358742338632e-13      -6.063959496633e-12       0.000000000000e+00       2.681518921307e-12       4.999863288766e-13      -3.192516912030e-15 
  163       6.441474794012e-10       1.346126263039e-13      -6.028213198935e-12       0.000000000000e+00       2.633830769162e-12       4.930697585816e-13      -3.127677166347e-15 
  164       6.481359730280e-10       1.333144317616e-13      -5.988853253267e-12       0.000000000000e+00       2.587295173369e-12       4.862822022230e-13      -3.063132346243e-15 
  165       6.520822000079e-10       1.319822202154e-13      -5.945860514630e-12       0.000000000000e+00       2.541873429069e-12       4.796222333252e-13      -2.998967741781e-15 
  166       6.559847824692e-10       1.306186846461e-13      -5.899217920907e-12       0.000000000000e+00       2.497521933209e-12       4.730879501078e-13      -2.935270438565e-15 
