# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  151       7.019502330102e-10       1.822220233872e-13      -7.890295754588e-12       0.000000000000e+00       3.808883957888e-12       5.893327328713e-13      -4.307436547171e-15 
  152       7.075149487168e-10       1.818924154640e-13      -7.913528069257e-12       0.000000000000e+00       3.739578100456e-12       5.808808528617e-13      -4.244127148825e-15 
  153       7.130467493651e-10       1.814910542109e-13      -7.933421899867e-12       0.000000000000e+00       3.671706846377e-12       5.725864245978e-13      -4.181258257445e-15 
  154       7.185443897008e-10       1.810185788353e-13      -7.949927726973e-12       0.000000000000e+00       3.605254635664e-12       5.644483382083e-13      -4.118855506469e-15 
  155       7.240066902459e-10       1.804757292829e-13      -7.962997771660e-12       0.000000000000e+00       3.540227942339e-12       5.564666679782e-13      -4.056916873766e-15 
  156       7.294324546327e-10       1.798633410728e-13      -7.972585710964e-12       0.000000000000e+00       3.476628841949e-12       5.486409126392e-13      -3.995436959782e-15 
  157       7.348204693028e-10       1.791823469387e-13      -7.978646716232e-12       0.000000000000e+00       3.414454907582e-12       5.409699819319e-13      -3.934406907603e-15 
  158       7.401695032060e-10       1.784337784717e-13      -7.981137491499e-12       0.000000000000e+00       3.353699105877e-12       5.334521831686e-13      -3.873814323005e-15 
  159       7.454783074998e-10       1.776187677615e-13      -7.980016311850e-12       0.000000000000e+00       3.294349693031e-12       5.260852077957e-13      -3.813643194515e-15 
  160       7.507456152479e-10       1.767385490389e-13      -7.975243061798e-12       0.000000000000e+00       3.236390110814e-12       5.188661179557e-13      -3.753873813463e-15 
