#Table1
ra,dec,z
227.145336641785,-0.236731045959244,0.0895952
226.833788761362,-0.366514515482016,0.08975301
225.225767164987,-0.391144572940349,0.1105506
224.093059543554,-0.232112224139388,0.1044088
223.940721610045,-0.334928013103944,0.0836084
223.065667392819,-0.242387925607557,0.09966943
218.566747423274,-0.313830970997266,0.0837293
218.018007063992,-0.316170676270193,0.1047179
215.058961191874,-0.240222494361519,0.08429851
211.594855610258,-0.22366150013512,0.1052832
208.733381695956,-0.299478771521323,0.1047963
205.379847470462,-0.380138443554729,0.07187126
205.267984071076,-0.39058535323173,0.09004688
202.494411506176,-0.315886613908785,0.1109076
201.618284934415,-0.290361262274966,0.08008775
191.982009324756,-0.324427062253571,0.08988839
191.97829128146,-0.268871737802864,0.09010885
191.900623817846,-0.332737711509215,0.0903003
187.546150917945,-0.249054058292508,0.09027144
185.567630371726,-0.260327045017177,0.1252175
183.425107502583,-0.260757796911938,0.1246059
249.11228840848,-0.62831936799815,0.09990741
248.935055451341,-0.630107537527874,0.09982654
247.780793324192,-0.745772340848143,0.1252228
240.465567675224,-0.815202258639041,0.1249438
240.441877624656,-0.752579425710856,0.1248653
234.254858837023,-0.820485187583163,0.08366072
231.84704210458,-0.829828604343652,0.1249702
231.806273139637,-0.794426342369379,0.1246231
231.718966400501,-0.813980080017731,0.1249213
231.695845186304,-0.815300586220769,0.1249173
227.609922550258,-0.682836324924991,0.09021582
227.54747653736,-0.807630420185086,0.08998659
226.995158609892,-0.663718198782247,0.08942275
223.696972655707,-0.69279925268853,0.08374847
223.545667487406,-0.770118637658776,0.08367053
214.587707132047,-0.745184907345144,0.09546115
199.744178211555,-0.628544548691995,0.08023216
199.596253864232,-0.807703506650883,0.083621
199.54952704057,-0.817559310046912,0.08393086
199.491415245696,-0.654332120508027,0.1103495
198.928861036011,-0.737306122939065,0.0836834
198.361254530827,-0.75930612048175,0.08382601
197.677600934857,-0.666744319065679,0.08058321
197.574281802443,-0.673772368396313,0.08436722
197.102410161033,-0.654978887054518,0.105245
196.481797570043,-0.751430735553406,0.08420494
196.467347949485,-0.723749101169871,0.08432848
196.12658041129,-0.739182298975253,0.08378702
196.036644270334,-0.673655499348366,0.083649
193.628892879786,-0.639698179119167,0.09547754
193.625310211541,-0.682484537280195,0.09592959
193.261081337739,-0.811588434648616,0.08398774
193.170322344673,-0.654869831691685,0.08373408
192.077550756036,-0.697143572757726,0.08408104
192.049227124284,-0.746387118172168,0.08413588
190.093209740949,-0.691118627129704,0.07184371
189.898352518122,-0.738804286505373,0.07211351
189.035038945703,-0.645520728616928,0.07205983
188.656236521663,-0.644239727052269,0.07196096
188.542991873649,-0.73750069201239,0.1102733
188.383931029329,-0.69207016737441,0.07162616
241.948576008924,-1.15613596243391,0.0717506
226.74221295131,-1.09669070241984,0.07168996
223.893949281635,-1.22702060236686,0.1000498
223.783865842457,-1.04805861680877,0.0837642
223.732909699065,-1.06730037819583,0.08361325
223.273548623391,-1.24759310437465,0.06741799
223.121361332057,-1.24539191009375,0.09980746
219.094551931913,-1.07417469878729,0.1051666
218.860824208655,-1.20402171139195,0.09030416
200.63195717455,-1.1244949529032,0.08382864
200.062696008635,-1.14589453264528,0.08394939
199.891865371066,-1.09756045729609,0.08030894
199.67779395533,-1.06788283137212,0.09542107
198.089824170564,-1.14629695870061,0.1101618
197.969692712417,-1.20285366772433,0.08403751
194.775998330359,-1.09104246725428,0.08065153
192.775731381958,-1.11395528769759,0.08373197
190.105365169772,-1.11759779583951,0.07157665
188.210431327879,-1.06043109747528,0.07196455
187.641325200613,-1.23666661604631,0.08057746
187.554510320213,-1.12720491993821,0.07169601
187.531721290504,-1.1597015078432,0.07150065
242.001596221703,1.07627361434789,0.1052944
238.011714757674,0.788583455140193,0.07185507
165.71817980354,0.677076331206543,0.09593257
242.652981237817,0.312556692277395,0.08021929
197.437243637133,0.310584725630361,0.08025688
197.258414076674,0.368675458258289,0.09612143
197.212436003465,0.405354394724682,0.09608532
